externalKey,title,type,roleKey,abilityKey,stage,source,provider,difficulty,url,estimatedHours,description,detail,steps,deliverables,acceptanceCriteria,verificationStatus,lastVerifiedAt,validUntil
google-project-management,Google Project Management 专业证书,course,ai_product_manager,projectPractice,beginner,官方课程,Coursera / Google,beginner,https://www.coursera.org/professional-certificates/google-project-management,120,学习项目启动、计划、执行和风险管理。,按证书模块完成练习并输出一个项目计划。,完成模块练习|选择一个项目|输出项目计划|做风险清单,项目计划|风险清单,计划包含里程碑、负责人、依赖和验收标准,verified,2026-09-09,
microsoft-ai-for-beginners,AI For Beginners,course,ai_engineer,roleFoundation,beginner,公开来源,Microsoft,beginner,https://microsoft.github.io/AI-For-Beginners/,40,通过课程和代码示例理解机器学习与生成式 AI 基础。,按课程目录完成核心章节和代码实验。,完成核心章节|运行代码实验|整理模型局限,课程笔记|代码实验记录,能解释模型输入输出、评估方式和适用边界,verified,2026-09-09,
deeplearning-ai-specialization,Deep Learning Specialization,course,ai_engineer,dataAnalysis,intermediate,官方课程,Coursera / DeepLearning.AI,intermediate,https://www.coursera.org/specializations/deep-learning,120,系统学习神经网络、优化、结构化机器学习和序列模型。,完成专项课程核心作业并复现至少一个训练流程。,完成课程作业|复现训练流程|记录超参数和指标,训练 notebook|实验记录,实验可复现并说明数据划分、指标和失败案例,verified,2026-09-09,
mlops-zoomcamp,MLOps Zoomcamp,course,ai_engineer,projectPractice,intermediate,公开来源,DataTalksClub,intermediate,https://github.com/DataTalksClub/mlops-zoomcamp,60,学习实验跟踪、模型部署、监控和可复现工程实践。,按模块完成代码实验并部署一个可访问的模型服务。,完成模块实验|部署模型服务|配置监控与日志,模型服务|部署说明|监控记录,服务可复现部署并能展示一次监控或告警结果,verified,2026-09-09,
github-actions-docs,GitHub Actions 官方文档,course,backend_developer,projectPractice,intermediate,官方文档,GitHub,intermediate,https://docs.github.com/en/actions,10,学习工作流、矩阵构建、缓存和部署自动化。,为一个示例仓库添加测试、构建和部署工作流。,阅读核心概念|编写 CI 工作流|加入缓存和失败重试|记录运行结果,可运行的 CI 工作流,工作流在 PR 上触发且失败时能给出可定位日志,verified,2026-09-09,
aws-cloud-practitioner,AWS Cloud Practitioner Essentials,course,backend_developer,projectPractice,beginner,官方课程,AWS Skill Builder,beginner,https://explore.skillbuilder.aws/learn/course/external/view/elearning/134/aws-cloud-practitioner-essentials,12,理解云计算基础、核心服务和成本模型。,完成课程模块并整理一份云服务选型清单。,完成课程模块|整理服务选型清单|做一个成本对比,云服务选型清单,清单能说明每个服务的用途、替代方案和成本注意点,verified,2026-09-09,
system-design-primer,System Design Primer,course,backend_developer,roleFoundation,advanced,公开来源,GitHub,advanced,https://github.com/donnemartin/system-design-primer,60,学习可扩展系统设计、缓存、数据库和一致性权衡。,按主题阅读并完成至少 3 个系统设计题目。,阅读核心主题|完成 3 个设计题|记录权衡和失败点,系统设计笔记,每个设计题包含需求、容量估算、组件和权衡,verified,2026-09-09,
python-data-science-handbook,Python Data Science Handbook,course,data_analyst,dataAnalysis,intermediate,公开来源,Jake VanderPlas,intermediate,https://jakevdp.github.io/PythonDataScienceHandbook/,40,通过在线书学习 NumPy、Pandas、Matplotlib 和机器学习入门。,按章节运行 notebook 并完成一个数据探索项目。,阅读章节|运行 notebook|完成数据探索项目|写结论限制,数据探索 notebook|分析摘要,notebook 可复现并明确说明数据来源、清洗和结论限制,verified,2026-09-09,
power-bi-learning,Microsoft Learn Power BI 学习路径,course,data_analyst,dataAnalysis,intermediate,官方课程,Microsoft Learn,intermediate,https://learn.microsoft.com/en-us/training/powerplatform/power-bi,20,学习数据建模、DAX、可视化和发布工作流。,按学习路径完成模块并制作一个业务仪表盘。,完成学习模块|连接数据集|制作仪表盘|发布到工作区,Power BI 仪表盘,仪表盘有明确指标口径并能解释主要视觉元素,verified,2026-09-09,
hubspot-content-marketing,HubSpot Content Marketing 认证课程,course,aigc_operator,businessProduct,beginner,官方课程,HubSpot Academy,beginner,https://academy.hubspot.com/courses/content-marketing,6,学习内容策略、受众研究和内容分发。,完成课程并为一个主题设计 4 周内容计划。,完成课程模块|选择主题|设计 4 周内容计划|记录分发渠道,内容计划表,计划包含受众、主题、渠道、频率和复盘指标,verified,2026-09-09,
deeplearning-prompt-for-developers,ChatGPT Prompt Engineering for Developers,course,aigc_operator,aiTooling,intermediate,官方课程,DeepLearning.AI,intermediate,https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/,4,学习面向开发者的提示词模式和迭代方法。,完成短课并改造一个内容生产流程。,完成课程|改造一个内容流程|做前后对比,提示词模板|前后对比记录,模板能稳定完成目标并说明失败时如何回退,verified,2026-09-09,
